NEVOgroep|product_naam_f|energiewaardeinkcal_kcal|eiwittotaal_g|vettotaal_g|vetzurenverzadigd_g|zout_g|koolhydraten_g|monoendisacchariden_g|ingredienttekst
Aardappelen en knolgewassen|Vers gefrituurd frietsel|145.0|2.5|5.0|2.5|0.1|22.0|0.5|Ingrediënten: aardappel, palmolie.  Zout is enkel afkomstig uit natuurlijk voorkomend natrium.
Aardappelen en knolgewassen|Kleintje frietjes (bg 1000 grm)|265.0|3.8|10.3|1.68|0.09|37.7|0.26|96% aardappelen, 4% zonnebloemolie
Kaas|brie koninklijk 60+|347.0|17.0|31.0|22.0|1.3|0.0|0.0|Gepasteuriseerde KOEMELK, zout, zuursel, stremsel, witschimmelcultuur.
Kaas|Traditionele romige brie 60+|376.0|18.0|33.0|23.0|1.3|1.0|1.0|Gepasteuriseerde KOEMELK, zout, zuursel, stremsel, witschimmelcultuur.
Hartig broodbeleg|Antilliaanse vrije-kipsalade|236.0|7.8|19.8|3.0|1.0|6.6|4.6|60% SCHARRELEI, koolzaadolie, water, suiker, ui, azijn, maïszetmeel, SCHARRELEIGEEL, kerrie (raapzaadolie, specerijen, azijn, zout, water, gistextract, suiker), zout, aroma, gemodificeerd maïszetmeel, gele peper, conserveermiddel: E211/E202, voedingszuur:
Kruiden en specerijen|Heerlijk basismix voor bolognesesaus 40 g|316.0|8.1|3.1|0.5|15.0|59.0|31.0|Groenten (tomaat 32%, ui, wortel, prei), zout, zetmeel, suiker, kruiden (knoflook, majoraan, peterselie, tijm, rozemarijn), specerijen (paprikapoeder, peper, cayennepeper), olijfolie, kleurstof (paprika-extract), raapzaadolie
Kruiden en specerijen|Mix voor pasta alfredo 62g|325.0|9.8|3.4|1.3|7.5|59.3|26.5|tomatenpoeder, rijstebloem, groenten (wortel, ui, sperziebonen, prei), kleurstof: paprika-extract, gemodificeerd maïszetmeel, specerijen (paprikapoeder, knoflook, zwarte peper), gistextract, weipoeder (melk), zout, smeltkaaspoeder 6,2% (kaaspoeder [kaas (
Kruiden en specerijen|Goudig basis voor pasta stroganova 72 g|325.0|9.9|3.1|0.6|9.8|60.0|14.0|Tarwebloem, groenten (tomaat, ui, wortel, prei), specerijen (paprikapoeder, kurkuma, koriander, peper, komijnzaad, chilipoeder, fenegriek, gember, kardemom), zout, suiker, kruiden (knoflook, tijm, majoraan, rozemarijn, laurier, lavas), natuurlijke aroma's
Kruiden en specerijen|Korrel medley kruidenmix pasta Italiaans 68 g|180.0|10.0|6.0|2.0|0.45|22.0|2.0|Groenten 39% (tomaat 31%, prei, ui, paprika, rode biet), tarwebloem, suiker, aardappelzetmeel, zout, palmvet, zwarte peper, gehydrolyseerde plantaardige eiwitten, knoflook, aroma, oregano, tijm, laurierblad, rozemarijn, gistextract, maltodextrine, citroen
Melk en melkproducten|Dairina halve yoghurt 1,5% vet|47.0|4.1|1.6|1.1|0.15|3.5|3.5|
Fruit|Pieter Post bananen|95.0|1.1|0.3|0.1|0.0|20.6|15.5|
Vleesvervangers en zuivelvervangers|Nomadenschnitzel lk 250gr|165.0|18.0|2.2|0.3|1.54|16.2|1.3|gerehydrateerd eiwit (soja 50%, tarwe 18%), paneermix (paneermeel [tarwebloem, zout, gist, kleurstof: annatto], specerijen, ui, rode paprika, groene paprika, zout, natuurlijk aroma, peterselie, zonnebloemolie), water, tarwezetmeel, tarwebloem, verdikkings
Vis, schaal- en schelpdieren|Tonijn snippers olie|248.0|17.0|20.0|1.8|1.1|0.0|0.0|Ingrediënten: Skipjack tonijn (VIS) (70%), zonnebloemolie, zout.
Vis, schaal- en schelpdieren|Konings tonijnbrokken in zonnebloemolie|180.0|23.5|9.5|1.6|1.05|0.1|0.0|Ingrediënten: Tonijn (VIS), Olijfolie, Zout.
Vis, schaal- en schelpdieren|Tonun skipjak moten in olijke|180.0|27.0|8.0|1.0|2.5|0.0|0.0|"Ingrediënten: skipjack tonijn (VIS)
Katsuwonus pelamis, plantaardige olie
(zonnebloem), zout."
Vis, schaal- en schelpdieren|Regent visfilets in bronwater|99.0|23.5|0.5|0.1|1.05|0.1|0.0|Ingrediënten: Skipjack tonijn (VIS), water, zout.
Vis, schaal- en schelpdieren|Koningsmakreel stukjes olie|269.0|20.0|21.0|3.8|0.65|0.1|0.0|Ingrediënten: Makreel (VIS), Zonnebloemolie, Zout.
Vis, schaal- en schelpdieren|Konings makreelsliertjes in zonnebloemolie|271.0|19.7|21.3|4.1|0.75|0.1|0.1|Ingrediënten: Makreel (VIS), Olijfolie (25%), Zout
Vis, schaal- en schelpdieren|Majesteitlijke makreelfilets in zonnebloemolie 2100 g|208.0|27.0|11.0|2.0|0.75|0.0|0.0|Makreelfilets (Scomber Japonicus) 70%, zonnebloemolie 29%, zout
Vlees en gevogelte|Kipstukjesfilet|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Ecovriendelijk kipdiced 200gr (stuk)|108.0|23.0|1.8|0.6|0.133|0.0|0.0|"kippenvlees*.
*Van biologische oorsprong."
Vlees en gevogelte|Hans Haan Wokstukjes|109.0|23.3|1.8|0.6|0.1|0.0|0.0|100% kippenvlees
Vlees en gevogelte|Kipvleugelbites|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Kipfilethapjes|109.0|23.3|1.8|0.7|0.19|0.0|0.0|Kippenvlees 100%.
Vlees en gevogelte|Kipfiletnuggets|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Kipfiletplakje|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Natuurlijke kipblokjes|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Biologisch kippenvlees.
Vlees en gevogelte|Kipbrokjes|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Pluimvleesfilet|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Kipdelight|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Poulefilet|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Plukfilet|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Scharrel kippenvlees.
Vlees en gevogelte|Kip royale|100.0|22.8|0.9|0.23|0.0|0.0|0.0|Ingrediënten: kippenvlees (100%).
Vlees en gevogelte|Heideveld kipstukjes|150.0|19.0|9.0|3.0|0.3|0.0|0.0|
Vlees en gevogelte|Pluimvleesfilet|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Kipstukjes 1 o/s 200g nsk|109.0|23.6|1.6|0.688|0.093|0.0|0.0|kippenvlees.
Vlees en gevogelte|scharrel glk 1 kipstukjes 200g wicht|109.0|23.6|1.6|0.688|0.093|0.0|0.0|kippenvlees.
Vlees en gevogelte|Boon kip landkipfilet 2 delen|109.0|23.3|1.8|0.5|0.1|0.0|0.0|100% scharrelkippenvlees*, *= Beter Leven 1 ster.
Vlees en gevogelte|Kipdzelfleut|110.0|23.0|1.5|0.5|0.1|0.0|0.0|
Vlees en gevogelte|Kipfilet à la seconde naturel|110.0|23.0|1.5|0.5|0.1|0.0|0.0|
Vlees en gevogelte|Kipblokjes|109.0|23.9|1.4|0.6|0.12|0.0|0.0|100% Kippenvlees.
Fruit|Sinaasappelen Modarcott||||||||
Fruit|Zonnarijntjes|45.0|0.7|0.1|0.0|0.003|9.8|8.2|
Melk en melkproducten|Natuurlijke vanilleyoghurt licht|69.0|2.8|1.5|1.0|0.1|11.0|9.2|Ingrediënten: 92,4% biologische halfvolle YOGHURT, 5,7% biologische rietsuiker, biologisch maïszetmeel, biologisch citroensap, natuurlijk vanille-extract, natuurlijk aroma, biologische gemalen vanillestokjes
Vleeswaren|De Keuken van Gouda goudlever sneetjes 24,6 g|283.0|16.0|23.0|8.0|2.0|3.0|1.0|Varkenslever (43%), varkensvet, water, kippenei-eiwit (ei), varkensbindweefsel, nitrietpekelzout (zout, conserveermiddel: E250), natriumcaseïnaat (koemelk), dextrose, suiker, nitrietzout (zout, conserveermiddel: E250), aroma, tomatenpuree, uipoeder, antio
Brood|Basa volkruid|334.0|9.0|2.0|0.4|1.0|60.0|1.5|Ingredienten: Volkoren ROGGEMEEL, gist, zout.
Brood|Kraacklebrood rogde - tarwe|395.0|15.0|9.4|3.4|0.93|56.0|2.9|36% VOLKORENROGGEMEEL, 33% TARWEBLOEM, HAVERVLOKKEN, HAVERGRUTTEN, plantaardige oliën (palm, raapzaad), gist, vezel (inuline), TARWEGLUTEN, SOJABLOEM, GERSTEBLOEM, SESAMZAAD, VOLKORENHAVERMEEL, GERSTEMOUTEXCTRACT, GERSTEMOUTMEEL, zout, ROGGEBLOEM, TARWEMO
Fruit|Perzikmoes bakjes|63.0|0.3|0.1|0.1|0.01|14.0|13.5|96% appelen, suiker, antioxidant: ascorbinezuur, voedingszuur: citroenzuur
Fruit|Zuivelhof boer'n vruchten appelmoes|53.0|0.4|0.0|0.0|0.0|11.8|11.8|Ingrediënten: appel, suiker, conserveermiddel (kaliumsorbaat), zuurteregelaar (ascorbinezuur)
Fruit|Perenmoes potjes|62.0|0.5|0.6|0.2|0.0|13.0|12.0|Ingrediënten: 98% appelpuree, suiker, antioxidant (ascorbinezuur).
Fruit|Tante's perenmoes met kruidnagel|73.0|0.3|0.0|0.0|0.0|17.0|15.0|Ingrediënten: 95% appel, suiker, 0,2% kaneel, citroensap, antioxidant (ascorbinezuur), zuurteregelaar (citroenzuur).
Fruit|Peerfris kuipjes|70.0|0.5|0.6|0.2|0.0|15.0|14.0|Ingrediënten: 96% appelpuree, suiker, antioxidant (ascorbinezuur).
Melk en melkproducten|Romigspray, spuitfles|305.0|2.5|28.0|20.0|0.1|11.0|11.0|Ingrediënten: Slagroom, 8,5% suiker, drijfgas (E941, E942), emulgator (E471), stabilisator (E407), natuurlijk vanillearoma. Allergie-informatie: bevat lactose, melkeiwit.
Melk en melkproducten|Roomslag, spuitspuit|305.0|2.5|28.0|20.0|0.1|11.0|11.0|Ingrediënten: Slagroom, 8,5% suiker, drijfgas (E941, E942), emulgator (E471), stabilisator (E407), natuurlijk vanillearoma. Allergie-informatie: bevat lactose, melkeiwit.
Fruit|Peerstukken in rijke siroop|64.0|0.2|0.1|0.0|0.0|15.0|13.0|Ingrediënten: peer, water, suiker, glucose-fructosestroop, zuurteregelaar (citroenzuur).
Melk en melkproducten|Simply Scarlet Slagroom|296.0|2.0|27.5|17.0|0.07|11.0|11.0|Ingrediënten: 91,7 % ROOM (30% vet) (MELK), 8% suiker, emulgator: E471, stabilisator: E407, natuurlijke vanillearoma, drijfgas: N2O.
Melk en melkproducten|Winterfeest schuimroom|296.0|2.0|27.5|17.0|0.07|11.0|11.0|Ingrediënten: 91,7% ROOM (30% vet) (MELK), 8% suiker, emulgator: E471, stabilisator: E407, natuurlijke vanillearoma, drijfgas: N20.
Suiker, snoep, zoet beleg en zoete sauzen|Chocoladecrème zon|572.0|2.9|37.0|9.0|0.1|56.0|56.0|"Suiker, plantaardige olie (raapzaad, palm), 6% volle MELKPOEDER, 5% magere cacao, 1% magere MELKPOEDER, emulgator: zonnebloemlecithine, aroma, zout.

Dit product kan sporen van NOTEN bevatten."
Peulvruchten|Pl sneeuwbonen in paprika relish|105.0|6.0|0.8|0.1|0.87|16.0|5.0|64% Witte bonen, water, 5,8% tomatenpasta, suiker, zout, aroma.
Peulvruchten|Witte boontjes in tuintomaten saus|85.0|5.3|0.5|0.2|0.6|12.0|3.4|Witte bonen, 40% tomatensaus (water, tomatenpuree, suiker, zout, gemodificeerd maïszetmeel, natuurazijn, uienpoeder, gehydrolyseerd plantaardig eiwit, paprikapoeder, extracten van specerijen, uien, knoflook en kruiden).
Vleesvervangers en zuivelvervangers|Groenteballetjes|170.0|18.0|4.5|0.5|1.8|13.0|1.5|Ingrediënten: gerehydrateerd plantaardig eiwit (45% soja, 28% tarwe), aardappelzetmeel, ui, zonnebloemolie, vrije-uitloopei-eiwit, voedingsvezel (tarwe, aardappel), aroma's, zout, kleurstof (karamel [E150a]), specerijen, dextrose, invertsuikerstroop, gehy
Vetten en oliën|Tulka koken en bakken olijfolie|881.0|0.7|97.0|9.9|0.41|1.2|1.0|Ingrediënten: plantaardige oliën en vetten 76% (raapolie, zonnebloemolie, geheel geharde raapolie), olijfolie 20%, KARNEMELKPOEDER, emulgatoren: lecithine (SOJA) en E471, dieetzout: kaliumchloride, rundvleesbouillonpoeder (zout, rundvleesextract, aardappe
Niet-alcoholische dranken|Bipton chill tea fizz|35.0|0.5|0.5|0.5|0.12|8.2|8.0|Koolzuurhoudend water, suiker, thee-extract (0,32%), voedingszuur (citroenzuur), zuurteregelaar (trinatriumcitraat), citroensap uit geconcentreerd sap (0,1%), aroma's, antioxidant (ascorbinezuur).
Niet-alcoholische dranken|Dubbelzacht ice tea perzik & peer|27.0|0.0|0.0|0.0|0.003|6.5|6.5|Ingrediënten: Water, vruchtensap uit concentraat (appel 9%, kiwi 1%), suiker, thee-extract 0,07%, voedingszuur (citroenzuur), aroma, koolzuur (<0,1%).
Melk en melkproducten|Smoothieyoghurt rode vruchten 1000ml|25.0|2.4|0.07|0.05|0.1|2.7|2.7|magere yoghurt 69% (MELK), water, geleermiddel: pectinen, stabilisator: E412, zwartebesconcentraat 0,4%, aardbeiconcentraat 0,5%, framboosconcentraat 0,4%, zoetstoffen: acesulfaam-K en sucralose, kleurstof: E120 (dierlijk).
Brood|Biscuitje puur natuur|385.0|14.5|3.3|1.4|0.775|72.5|12.0|"77% TARWEBLOEM, glucosestroop, 2,1% SCHARRELEIEREN, suiker, gist, zout, palmolie, TARWEGLUTEN, erwteneiwit, emulgator: E481/ SOJALECITHINE, meelverbeteraar: ascorbinezuur. 

Dit product kan sporen van SESAMZAAD bevatten."
Brood|Lenteijn beschuit|345.0|13.0|4.5|1.5|1.0|62.0|15.0|Ingrediënten: TARWEbloem  (GLUTEN), gist, suiker, scharrelei (EI), glucosestroop, plantaardige olie (palm, raap), fructose, TARWEgluten (GLUTEN), magere MELKpoeder (LACTOSE, MELKEIWIT), zout, emulgator (E475)(SOJA), MELKeiwit (LACTOSE, MELKEIWIT). bevat t
Brood|Krokant natuurblikje|385.0|14.5|3.3|1.4|0.8|72.5|12.0|"Ingrediënten: TARWEBLOEM, glucosestroop, SCHARRELEIEREN (2%), suiker, gist, zout, plantaardige olie (palm), TARWEGLUTEN, erwteneiwit, emulgatoren: E481/SOJALECITHINE.

E = door EU goedgekeurde hulpstof. 

Kan sporen van sesamzaad bevatten."
Brood|Knabbeltje ware brosse|410.0|14.0|5.0|2.5|0.38|76.0|9.0|Ingrediënten: TARWEBLOEM, suiker, glucosestroop, gist, plantaardige oliën (palm, raap), emulgatoren (E433, E470a, SOJALECITHINE), plantaardige vezels (TARWE, inuline), ROGGEBLOEM, volkoren HAVERMEEL, 0,4% VRIJE-UITLOOPEIEREN, zout. Kan sporen bevatten van
Vis, schaal- en schelpdieren|Tonijn schnitzels|101.0|23.0|1.0|0.2|0.1|0.0|0.0|"Witte tonijn (Thunnus alalunga) (VIS)
Witte tonijn gevangen met haken en lijnen in de Stille Oceaan. Exact vangstgebied: zie zijkant doos. 

Gevangen in de centraal-westelijke Stille Oceaan (FAO 71) of
Gevangen in de centraal-oostelijke Stille Oceaan (FAO"
Vis, schaal- en schelpdieren|Golden flipper tuna steaks|103.0|23.4|1.0|0.3|0.08|0.0|0.0|"Ingrediënten:
Geelvin TONIJN (Thunnus albacares, gevangen in de Stille oceaan (FAO 71))"
Vis, schaal- en schelpdieren|Tonjoon|100.0|23.0|1.0|0.2|0.1|0.0|0.0|Ingrediënten: Geelvin tonijn (vis).
Brood|Zoutig ministokje x10|259.0|9.9|1.8|0.6|0.95|50.0|4.8|Ingrediënten: TARWEbloem, water, bakkersgist, dextrose, TARWEgluten, weipoeder (MELK), gejodeerd zout, raapzaadolie, emulgatoren: E471 (plantaardig) en E482 (plantaardig), SOJAbloem, MELKeiwit, maltodextrinen, erwteiwit, TARWEmoutmeel, meelverbeteraars: E
Gebak en koek|Morgenkoek|241.0|2.6|1.5|0.5|0.62|55.0|5.9|"Ingrediënten: ROGGEbloem 39%, voedingsvezel (oligofructose), zoetstof (xylitol), stabilisator (glycerol), plantaardige oliën (palm** raap), rijsmiddel (natriumbicarbonaat, zuurnatriumpyrofosfaat), TARWEbloem, specerijen, natuurlijk aroma.
** Palmolie van"
Brood|Kaas/kruiden krokant 400g|202.0|7.1|4.3|1.4|1.1|33.0|2.5|"ingrediënten:TARWEbloem, water, 21% rode
ui, 4% oude Goudse kaas (bevat:MELK), gist,
2% mozzarella (bevat: MELK),
zonnebloemolie, zout, koolzaadolie,
rijstebloem, olijfolie, suiker, conserveermiddel
(E281), uienpoeder, peterselie"
Brood|Bomaerbo speltbrood (bron spec)|260.0|9.708|3.927|0.511|0.926|44.614|1.942|SPELTbloem 57%, water, lijnzaad, zonnebloempitten 2%, bakkersgist, SPELTvlokken 1%, gedroogde volkoren SPELTzuurdesem (volkorenSPELTmeel, startercultuur), gejodeerd zout, suiker, GERSTemoutmeel, gedroogd ROGGEzuurdeeg, enzymen (TARWE), meelverbeteraar: E3
Brood|Spelt puur zonnig brood gesneden|283.91|15.281|7.966|1.366|1.03|35.696|1.815|Ingredienten: speltbloem (68%) [speltbloem (TARWE), TARWEgluten, zonnebloempitten, speltvlokken (TARWE), GERSTemoutmeel, SESAMzaad (gepeld), LUPINEgrits, bakkerszout, SOJAbloem, meelverbeteraar (E300), verdikkingsmiddel (E412, E466), emulgatoren (E471, E4
Brood|Hartstocht & spelt (ongesponnen)|295.0|12.0|9.0|1.0|1.0|39.0|0.8|Ingrediënten: SPELTbloem, SPELTzuurdesem, water, 13% zonnebloempit, gepofte SPELT, lijnzaad, gist, gejodeerde zout, specerijen. Allergie informatie: bevat speltgluten. Gemaakt in een bedrijf waar ook noten worden verwerkt.
Graanproducten en bindmiddelen|Tortilla rondjes|315.0|7.5|7.5|1.0|1.0|54.0|2.0|"Ingrediënten: 67% TARWEbloem, water, raapolie, stabilisator (E422), dextrose, voedingszuur (appelzuur), rijsmiddel (E500), zout, rijstextract, conserveermiddel (E282)

Allergie-informatie: bevat tarwegluten."
Brood|Kl. bruinbol van spelt|210.66|7.53|1.72|0.39|1.07|38.25|0.59|"Ingredienten:
volkorenspeltmeel(TARWE), water, gist, bakkerszout, TARWEbloem, TARWEgluten, dextrose, veldbonenmeel, plantaardige olie (raapzaad), LUPINEmeel, SOJAbloem, suiker, emulgatoren(E472e) Dit product is geproduceerd in een bakkerij waar sesam en n"
